StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q3,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q4_9,Q4_10,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10
2020-07-28 11:49:45,2020-07-28 11:51:37,IP Address,136.56.15.160,100,111,True,2020-07-28 11:51:37,R_3nUzEL2D3JHLeLV,,,,,35.9033050537109375,-78.743896484375,anonymous,EN,15,Cary,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes
2020-07-28 11:51:18,2020-07-28 11:53:21,IP Address,24.163.61.144,100,123,True,2020-07-28 11:53:22,R_1LZ1rPg1KJWQOJW,,,,,36.0229034423828125,-78.94640350341796875,anonymous,EN,35,"I live in Durham, but I'm originally from Pittsburgh, PA.",Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No
2020-07-28 11:53:12,2020-07-28 11:54:00,IP Address,136.56.138.204,100,48,True,2020-07-28 11:54:00,R_z1NysAA5Ub8wg6t,,,,,35.7964935302734375,-78.79810333251953125,anonymous,EN,15,"North Carolina ",Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020-07-28 11:56:12,2020-07-28 11:57:29,IP Address,174.109.108.4,100,77,True,2020-07-28 11:57:29,R_p9t6av3C16k8erL,,,,,36.0229034423828125,-78.94640350341796875,anonymous,EN,49,"Durham, NC",Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No
2020-07-28 12:02:32,2020-07-28 12:03:09,IP Address,98.122.151.148,100,37,True,2020-07-28 12:03:09,R_6XtkDZbENmNckVz,,,,,35.7964935302734375,-78.79810333251953125,anonymous,EN,17,"North Carolina ",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-07-28 12:03:55,2020-07-28 12:04:44,IP Address,172.74.113.124,100,48,True,2020-07-28 12:04:44,R_2QVzQBHnNLPoCzn,,,,,35.7964935302734375,-78.79810333251953125,anonymous,EN,14,India,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,No
2020-07-28 12:07:05,2020-07-28 12:07:43,IP Address,72.66.58.229,100,37,True,2020-07-28 12:07:44,R_2BmKmqY7dR8dWXM,,,,,39.0045013427734375,-77.3061981201171875,anonymous,EN,16,"China ",Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes
2020-07-28 12:11:57,2020-07-28 12:13:05,IP Address,107.13.152.252,100,67,True,2020-07-28 12:13:05,R_3014vcPGFcTcjrl,,,,,35.91119384765625,-78.9178009033203125,anonymous,EN,23,"Durham, NC",Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2020-07-28 12:13:20,2020-07-28 12:14:35,IP Address,24.191.180.12,100,74,True,2020-07-28 12:14:35,R_XjMyfJyLm23cWsN,,,,,40.63720703125,-73.9037017822265625,anonymous,EN,20,"New York ",Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020-07-28 12:26:36,2020-07-28 12:28:28,IP Address,136.56.45.237,100,112,True,2020-07-28 12:28:28,R_uqAb71nfmQ3pkhr,,,,,35.8332061767578125,-78.84729766845703125,anonymous,EN,50,NC,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No
2020-07-28 12:28:39,2020-07-28 12:29:40,IP Address,107.15.102.231,100,60,True,2020-07-28 12:29:40,R_bPCgkuVn3gG1GsF,,,,,35.8047027587890625,-78.88809967041015625,anonymous,EN,52,New York,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No
2020-07-28 12:41:24,2020-07-28 12:42:56,IP Address,71.69.184.107,100,92,True,2020-07-28 12:42:56,R_1jxPRZTliYMaPPH,,,,,35.96099853515625,-78.92910003662109375,anonymous,EN,23,SC,Yes,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No
2020-07-28 12:46:49,2020-07-28 12:47:41,IP Address,107.15.240.137,100,51,True,2020-07-28 12:47:41,R_31L4A428ZrkPUmV,,,,,36.0229034423828125,-78.94640350341796875,anonymous,EN,57,Durham,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No
2020-07-28 12:51:06,2020-07-28 12:51:56,IP Address,108.253.226.128,100,50,True,2020-07-28 12:51:56,R_RV2jryT3RmxndER,,,,,36.03900146484375,-78.87799835205078125,anonymous,EN,63,"Durham, North Carolina",Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,Yes,,Yes,Yes,,Yes,,
2020-07-28 12:57:10,2020-07-28 12:57:29,IP Address,70.106.235.100,100,18,True,2020-07-28 12:57:29,R_1Q5xWTtjMgGkNtD,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,16,Virginia,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020-07-28 12:57:40,2020-07-28 12:58:10,IP Address,70.106.235.100,100,29,True,2020-07-28 12:58:10,R_3lYs6eZzM5fcQL9,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,16,ashburn virginia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020-07-28 12:58:15,2020-07-28 12:58:51,IP Address,70.106.235.100,100,36,True,2020-07-28 12:58:52,R_3kyTwHtzHe6rM4k,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,49,India,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No
2020-07-28 13:06:00,2020-07-28 13:06:58,IP Address,173.79.112.192,100,57,True,2020-07-28 13:06:59,R_2rVdBthzn6Iq6Cw,,,,,39.05029296875,-77.390899658203125,anonymous,EN,16,"virginia ",Yes,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes
2020-07-28 12:57:01,2020-07-28 13:16:38,IP Address,107.13.150.137,100,1176,True,2020-07-28 13:16:38,R_2CBX3aJAHP9vOZR,,,,,35.91119384765625,-78.9178009033203125,anonymous,EN,61,Originally from eastern NC,Yes,No,No,No,No,No,Yes,Yes,No,No,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes
2020-07-28 13:16:51,2020-07-28 13:18:29,IP Address,107.13.150.137,100,98,True,2020-07-28 13:18:30,R_4TRUXn7Ma3MwSLn,,,,,35.91119384765625,-78.9178009033203125,anonymous,EN,62,Eastern NC,Yes,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,No,No,,No,No,No
2020-07-28 13:32:43,2020-07-28 13:33:12,IP Address,70.106.235.100,100,28,True,2020-07-28 13:33:12,R_1BRz90hGUpUc40e,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,16,va,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No
2020-07-28 13:35:06,2020-07-28 13:35:32,IP Address,70.106.235.100,100,26,True,2020-07-28 13:35:32,R_2ygwZZ2oPoK6mUF,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,15,"sterling, virginia, USA",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2020-07-28 17:33:50,2020-07-28 17:35:30,IP Address,107.15.42.28,100,100,True,2020-07-28 17:35:31,R_3h9F7JxyVK13PqY,,,,,35.96099853515625,-78.92910003662109375,anonymous,EN,23,North Carolina,Yes,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes
2020-07-28 18:00:43,2020-07-28 18:01:44,IP Address,71.70.244.27,100,60,True,2020-07-28 18:01:44,R_1ihE3LpFUJ18QFb,,,,,35.7606964111328125,-78.7794036865234375,anonymous,EN,14,North Carolina,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020-07-28 21:43:34,2020-07-28 21:43:51,IP Address,70.106.235.100,100,16,True,2020-07-28 21:43:52,R_sdt3Hof7JWJaUr7,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,16,virginia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020-07-28 21:43:53,2020-07-28 21:44:30,IP Address,70.106.235.100,100,36,True,2020-07-28 21:44:30,R_vMraN52p65DhBrb,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,15,Ashburn VA,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No
2020-07-28 21:56:27,2020-07-28 22:06:14,IP Address,107.15.136.199,100,587,True,2020-07-28 22:06:15,R_1OGLAZv3rpbRP4y,,,,,35.9033050537109375,-78.743896484375,anonymous,EN,22,"Raleigh, NC",Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
2020-07-29 06:38:36,2020-07-29 06:39:37,IP Address,99.203.85.172,100,60,True,2020-07-29 06:39:37,R_1ilAbUfiRqkmcxC,,,,,35.2135009765625,-80.82180023193359375,anonymous,EN,22,Bahamas,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No
2020-07-29 10:05:26,2020-07-29 10:54:21,IP Address,70.106.235.100,100,2934,True,2020-07-29 10:54:21,R_1K8tPIDCkPlI1gC,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,15,virginia,Yes,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020-07-29 10:54:23,2020-07-29 10:54:44,IP Address,70.106.235.100,100,21,True,2020-07-29 10:54:45,R_2a8ixj1GhDAZ43o,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,17,Virginia,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
2020-07-29 10:54:46,2020-07-29 10:55:08,IP Address,70.106.235.100,100,22,True,2020-07-29 10:55:09,R_sYFWt9o6Vm9eLkZ,,,,,39.01800537109375,-77.53900146484375,anonymous,EN,13,virginia,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
